trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
88,False,"{'a': 0.005, 'e': 0.6472646670780347}",25,0,-9.239045545791615,"{0: 21, 1: 1, 2: 3, 3: 0, 4: 0}",0
89,False,"{'a': 0.005, 'e': 0.6440364210831414}",30,0,-59.25685233895464,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
90,False,"{'a': 0.005, 'e': 0.6408242760323187}",20,0,-90.79380427276917,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
91,False,"{'a': 0.005, 'e': 0.6376281516217733}",20,0,-103.98357811936593,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
92,False,"{'a': 0.005, 'e': 0.6344479679482282}",20,0,-41.23191357536578,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
93,False,"{'a': 0.005, 'e': 0.631283645506926}",20,0,-19.2602277259882,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
94,False,"{'a': 0.005, 'e': 0.6281351051896408}",20,0,-48.40997178856924,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
95,False,"{'a': 0.005, 'e': 0.6250022682827008}",20,0,-76.97883580337344,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
96,False,"{'a': 0.005, 'e': 0.62188505646502}",20,0,-51.10241467755428,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
97,False,"{'a': 0.005, 'e': 0.6187833918061408}",20,10,-32.187857993834996,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
98,False,"{'a': 0.005, 'e': 0.6156971967642851}",20,2,-32.95955987144644,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
99,False,"{'a': 0.005, 'e': 0.6126263941844161}",30,22,15.132619741560264,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.005, 'e': 0.6095709072963093}",30,0,-24.553852065380497,"{0: 24, 1: 1, 2: 5, 3: 0, 4: 0}",0
101,False,"{'a': 0.005, 'e': 0.6065306597126334}",25,0,-75.36948602805221,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
102,False,"{'a': 0.005, 'e': 0.6035055754270405}",20,0,-96.1483642503519,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
103,False,"{'a': 0.005, 'e': 0.6004955788122659}",20,0,-2.899538228744277,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
104,False,"{'a': 0.005, 'e': 0.5975005946182375}",20,0,-16.462057830500513,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
105,False,"{'a': 0.005, 'e': 0.5945205479701944}",20,0,-27.558886509069918,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
106,False,"{'a': 0.005, 'e': 0.5915553643668151}",30,13,-61.35691279389592,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 1}",1
107,False,"{'a': 0.005, 'e': 0.5886049696783552}",20,0,-58.76913070709554,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
108,False,"{'a': 0.005, 'e': 0.5856692901447937}",25,0,-64.74593421593823,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
109,False,"{'a': 0.005, 'e': 0.5827482523739896}",20,13,7.084800340348908,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.005, 'e': 0.5798417833398464}",25,11,-49.745285849888866,"{0: 10, 1: 2, 2: 0, 3: 1, 4: 1}",1
111,False,"{'a': 0.005, 'e': 0.5769498103804866}",25,2,-82.02510893873564,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 1}",1
