trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,False,"{'a': 0.5, 'e': 0.5749999999999996}",25,0,-43.42835297254602,"{0: 16, 1: 5, 2: 4, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.5699999999999996}",25,17,-0.39182524394962726,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
87,False,"{'a': 0.5, 'e': 0.5649999999999996}",20,0,-61.397453231583434,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
88,False,"{'a': 0.5, 'e': 0.5599999999999996}",25,0,-54.3758579425755,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
89,False,"{'a': 0.5, 'e': 0.5549999999999996}",25,3,-19.94867816123495,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-91.38456317724193,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
91,False,"{'a': 0.5, 'e': 0.5449999999999996}",25,3,-70.49766569378241,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 2}",1
92,False,"{'a': 0.5, 'e': 0.5399999999999996}",25,14,3.102342682923957,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.5349999999999996}",30,0,-102.03143268158888,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
94,False,"{'a': 0.5, 'e': 0.5299999999999996}",25,0,-62.38631058214155,"{0: 19, 1: 1, 2: 4, 3: 0, 4: 1}",0
95,False,"{'a': 0.5, 'e': 0.5249999999999996}",30,0,-54.91765687083589,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
96,False,"{'a': 0.5, 'e': 0.5199999999999996}",25,6,-25.71138105060155,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 1}",1
97,False,"{'a': 0.5, 'e': 0.5149999999999996}",20,6,-13.827845136504127,"{0: 11, 1: 0, 2: 3, 3: 0, 4: 0}",1
98,False,"{'a': 0.5, 'e': 0.5099999999999996}",20,0,-19.03894921463167,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
99,False,"{'a': 0.5, 'e': 0.5049999999999996}",25,3,5.782114726422263,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 0}",1
100,False,"{'a': 0.5, 'e': 0.49999999999999956}",20,2,-32.4142335529896,"{0: 13, 1: 0, 2: 5, 3: 0, 4: 0}",1
101,False,"{'a': 0.5, 'e': 0.49499999999999955}",25,0,-130.90135436886288,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 3}",0
102,False,"{'a': 0.5, 'e': 0.48999999999999955}",30,21,-27.03826462584455,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
103,False,"{'a': 0.5, 'e': 0.48499999999999954}",25,6,-14.035012471059655,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.5, 'e': 0.47999999999999954}",20,6,14.386944008646761,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
105,False,"{'a': 0.5, 'e': 0.47499999999999953}",20,14,3.8953456774689412,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.5, 'e': 0.46999999999999953}",25,0,-105.74321011464505,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",1
107,False,"{'a': 0.5, 'e': 0.4649999999999995}",20,0,-41.249739848529536,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
108,False,"{'a': 0.5, 'e': 0.4599999999999995}",25,11,-32.94877425985306,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
109,False,"{'a': 0.5, 'e': 0.4549999999999995}",25,20,6.419622982102919,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.5, 'e': 0.4499999999999995}",20,0,-133.6045435874657,"{0: 15, 1: 0, 2: 1, 3: 1, 4: 3}",0
111,False,"{'a': 0.5, 'e': 0.4449999999999995}",25,6,-6.252291517270335,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 0}",1
112,False,"{'a': 0.5, 'e': 0.4399999999999995}",20,0,-46.060953221609886,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
113,False,"{'a': 0.5, 'e': 0.4349999999999995}",20,12,12.583177943529083,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.5, 'e': 0.4299999999999995}",30,14,-35.678639039441215,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 1}",1
